CPU Usage (%),Memory Usage (%),Disk Usage (%),Network Latency (ms),Packet Loss (%),Error Logs Count,Event Type,Pod Eviction Risk (%),Slow Response Likelihood (%),Failure Type
0.5993428306022466,0.33037631737819456,0.47417660417493956,0.0033918641256132005,0.33597810260155836,0.0,1,0.0,0.0,1
0.4723471397657631,0.4236251342365868,0.46395960507626965,0.16498635630296937,0.5819074050874483,0.30000000000000004,1,0.0,0.0,1
0.6295377076201385,0.3506547347387143,0.2721087750126221,0.24668517896025347,0.381313854428213,0.0,1,0.0,0.0,1
0.8046059712816052,0.5276045117365299,0.5105539841958366,0.37530227950680156,0.4291486258713215,0.0,1,0.0,0.0,1
0.4531693250553328,0.7992946328654782,0.1850472021534085,0.527976661431987,0.5329866205605464,0.1,1,0.0,0.0,1
0.45317260861016395,0.3072394607146989,0.3165130831185671,0.47035864718985665,0.40437733664170894,0.0,1,0.0,0.0,1
0.8158425631014783,0.7502051244421035,0.1049934386683766,0.1432784706110273,0.11300398650596509,0.30000000000000004,1,0.0,0.0,1
0.6534869458305818,0.3045819819132781,0.6645328236908362,0.2842763816309442,0.5865267850778497,0.30000000000000004,1,0.0,0.0,1
0.40610512281300964,0.28809319687577895,0.38298296011178773,0.3625062853130921,0.6220341488449997,0.30000000000000004,1,0.0,0.0,1
0.6085120087171929,0.7046486545858034,0.7601965015242295,0.30339445492811357,0.11080599699324999,0.30000000000000004,2,0.0,0.0,1
0.40731646143750755,0.7304840945019042,0.5456838168597877,0.3021569710498028,0.241315523155162,0.1,1,0.0,0.0,1
0.40685404928594865,0.7128524841906636,0.48987452725664216,0.04840515752770934,0.7494170288717574,0.0,1,0.0,0.0,1
0.5483924543132069,0.17105064794546473,0.32720095973277274,0.14792082762585843,0.4525835089920065,0.30000000000000004,1,0.0,0.0,1
0.11734395106844041,0.38351225548198725,0.2548352361037682,0.2788244794728321,0.41473339599722264,0.1,1,0.0,0.0,1
0.15501643349739347,0.7057471480008303,0.5016502321699905,0.0,0.34351125969435997,0.1,1,0.0,0.0,1
0.3875424941518055,0.5103854601409736,0.4081525348366999,0.46101975407928525,0.24340091846568615,0.1,1,0.0,0.0,1
0.29743377593311526,0.23157678845063398,0.2087662103129499,0.10952150010832178,0.3819382535387339,0.1,2,0.0,0.0,1
0.5628494665190548,0.6145794847813605,0.18083604852347912,0.46908455109324115,0.575566059752336,0.2,1,0.0,0.0,1
0.3183951848957578,0.3212981852521324,0.26861980560992904,0.4537345708298292,0.41154791901296117,0.2,1,0.0,0.0,1
0.2175392597329417,0.948631212098053,0.7057924485455952,0.254250930366031,0.5152435643043597,0.2,1,0.9893130446683409,0.0,2
0.7931297537843108,0.8862103656045646,0.7674930977275416,0.5238539854594169,0.7066486837790051,0.1,1,0.8105956936048195,0.0,2
0.45484473990269286,0.6510243565888918,0.4516395582022498,0.47892408521853547,0.31798422161907386,0.30000000000000004,1,0.0,0.0,1
0.5135056409375848,0.8402516761924435,0.4428248704838128,0.29523179662890037,0.46431876131977984,0.30000000000000004,1,0.6538421160774021,0.0,1
0.21505036275730863,0.5161978375308452,0.36650512430367793,0.2755388101944773,0.5805309673322989,0.1,1,0.0,0.0,1
0.3911234550949635,0.6913593735937539,0.2724287505284134,0.5407337468182586,0.2596021119624656,0.0,1,0.0,0.0,1
0.5221845179419732,0.8694300738255188,0.6356811315439375,0.3896785582018265,0.44364098147382036,0.2,1,0.839451996356919,0.0,2
0.2698012845155395,0.5613746704485781,0.7140665535278895,0.5315617590640678,0.7243107092955489,0.0,1,0.0,0.0,1
0.5751396036691344,0.43620320712142907,0.2788874453862033,0.0,0.3577798880250371,0.0,1,0.0,0.0,1
0.37987226201623897,0.07384451045572106,0.4063714951119301,0.36636629781452246,0.5911252921407311,0.0,1,0.0,0.0,0
0.44166125004134466,0.4792166185696265,0.34864719268605704,0.07377849312200943,0.39076464063364746,0.0,1,0.0,0.0,1
0.37965867755412064,0.7058557961405779,0.3533068134965871,0.3446698557174693,0.7122611564284403,0.2,1,0.0,0.0,1
0.8704556369017875,0.7364083568919074,0.6059135733776839,0.47379524595055844,0.14156011432045093,0.1,1,0.0,0.0,1
0.4973005550524133,0.6260912664296024,0.213061196087933,0.6528018398383928,0.4249056142925323,0.0,1,0.0,0.0,1
0.28845781420881994,0.3646752262594401,0.4927639006905192,0.1853813139541885,0.16916092936077406,0.1,1,0.0,0.0,1
0.6645089824206377,0.005794607763102349,0.533933518353291,0.25739142638392715,0.29803921963478014,0.0,1,0.0,0.0,1
0.25583127000579553,0.37619622549881626,0.39704307752121143,0.33249345403278335,0.2970548846964379,0.30000000000000004,1,0.0,0.0,1
0.541772719000951,0.42391378223651216,0.5598571062056333,0.17903260042921287,0.36992164052736837,0.1,1,0.0,0.0,1
0.10806597522404487,0.42176775820249646,0.44262183547491557,0.5200150824067671,0.21729508338546052,0.1,1,0.0,0.0,1
0.2343627902203139,0.6546390892444811,0.6108239596594648,0.3369346380161078,0.4022608645612127,0.4,1,0.0,0.0,1
0.5393722471738247,0.99641910275371,0.17999511685231573,0.37046416954782696,0.4904250774683103,0.2,1,0.6342424104211607,0.0,3
0.6476933159990822,0.5308823004602733,0.36454628208514345,0.4574457685941083,0.16037302920409233,0.4,1,0.0,0.0,1
0.5342736562379942,0.4458170527108846,0.4081054886146639,0.33665233737772343,0.3089634274451019,0.2,1,0.0,0.0,1
0.47687034352235186,0.4351945467489769,0.0,0.20644121444371785,0.8350808744112802,0.2,2,0.0,0.0,1
0.4397792608821423,0.5310961917269286,0.24860672330912437,0.3381697135920452,0.46868587802099426,0.2,1,0.0,0.0,1
0.20429560192651453,0.29292655991290023,0.29144110632641274,0.1996948185534021,0.11302165462305439,0.1,1,0.0,0.0,1
0.3560311583210583,0.5300496396865138,0.5685289594411773,0.36802413098205095,0.18214666932998597,0.4,1,0.0,0.0,1
0.4078722458080425,0.6127030840829499,0.3082311376769339,0.5232236240849816,0.4515679534575463,0.0,1,0.0,0.0,1
0.7114244452437831,0.552421515893622,0.290736556498649,0.14403731010818682,0.43082123763480773,0.1,1,0.0,0.0,1
0.5687236579136923,0.6143854835011954,0.5479699427626346,0.08164151615644492,0.31683047611538473,0.4,1,0.0,0.0,1
0.14739196892745318,0.6084369023371339,0.16494306303195813,0.35777052378684376,0.7774853550381047,0.1,1,0.0,0.0,1
0.564816793878959,0.057025829438389054,0.09364506649717903,0.21512504102142982,0.8479585817687615,0.4,1,0.0,0.0,1
0.4229835439167367,0.6592175395988508,0.36253048275729005,0.354714453462502,0.37034786993048163,0.2,1,0.0,0.0,1
0.36461559993880827,0.33224628858438665,0.19171187138284476,0.4051101666097158,0.5587574221040835,0.0,1,0.0,0.0,1
0.6223352577681736,0.22604020924901055,0.19769264080889773,0.0,0.5670749972059599,0.1,1,0.0,0.0,1
0.7061999044991901,0.22388704303625098,0.50958667554114,0.46961028119259146,0.5890589733935839,0.1,1,0.0,0.0,1
0.6862560238232398,0.6083854026181325,0.5571686497284294,0.14496432543797774,0.30810981943987065,0.4,1,0.0,0.0,1
0.3321564953554723,0.4443562681937868,0.5434684872538458,0.3452705290811974,0.7354304542802348,0.2,2,0.0,0.0,1
0.4381575248297571,0.07950780400364735,0.5937827047077399,0.2340531897261401,0.40278142197808064,0.30000000000000004,1,0.0,0.0,1
0.5662526862807128,0.6195094537980709,0.6145992505709617,0.2528081559041194,0.4840514799033897,0.2,1,0.0,0.0,1
0.6951090254244718,0.14009796730029317,0.08462595430659667,0.6449136553519457,0.41448362292747687,0.30000000000000004,1,0.0,0.0,1
0.40416515243094203,0.5349553396295528,0.4902384216611854,0.40491183684946225,0.39100496156526093,0.0,1,0.0,0.0,1
0.4628682046672365,0.5596247314182635,0.3361057885958487,0.5071181768249725,0.4602650360815751,0.2,1,0.0,0.0,1
